ref/sorb	H2O	LiCl
t[K]	mass ratio	p[kPa]	equation form	reference
343	43	0.171745	Custom	Conde, M. R. (2004). Properties of aqueous solutions of lithium and calcium chlorides: formulations for use in air conditioning equipment design. International Journal of Thermal Sciences, 43(4), 367-382.
343	44	0.158851	Custom	Conde, M. R. (2004). Properties of aqueous solutions of lithium and calcium chlorides: formulations for use in air conditioning equipment design. International Journal of Thermal Sciences, 43(4), 367-382.
343	45	0.14688	Custom	Conde, M. R. (2004). Properties of aqueous solutions of lithium and calcium chlorides: formulations for use in air conditioning equipment design. International Journal of Thermal Sciences, 43(4), 367-382.
353	30	0.658309	Custom	Conde, M. R. (2004). Properties of aqueous solutions of lithium and calcium chlorides: formulations for use in air conditioning equipment design. International Journal of Thermal Sciences, 43(4), 367-382.
353	31	0.623131	Custom	Conde, M. R. (2004). Properties of aqueous solutions of lithium and calcium chlorides: formulations for use in air conditioning equipment design. International Journal of Thermal Sciences, 43(4), 367-382.
353	32	0.588253	Custom	Conde, M. R. (2004). Properties of aqueous solutions of lithium and calcium chlorides: formulations for use in air conditioning equipment design. International Journal of Thermal Sciences, 43(4), 367-382.
353	33	0.553919	Custom	Conde, M. R. (2004). Properties of aqueous solutions of lithium and calcium chlorides: formulations for use in air conditioning equipment design. International Journal of Thermal Sciences, 43(4), 367-382.
353	34	0.520355	Custom	Conde, M. R. (2004). Properties of aqueous solutions of lithium and calcium chlorides: formulations for use in air conditioning equipment design. International Journal of Thermal Sciences, 43(4), 367-382.
353	35	0.487762	Custom	Conde, M. R. (2004). Properties of aqueous solutions of lithium and calcium chlorides: formulations for use in air conditioning equipment design. International Journal of Thermal Sciences, 43(4), 367-382.
353	36	0.456314	Custom	Conde, M. R. (2004). Properties of aqueous solutions of lithium and calcium chlorides: formulations for use in air conditioning equipment design. International Journal of Thermal Sciences, 43(4), 367-382.
353	37	0.426148	Custom	Conde, M. R. (2004). Properties of aqueous solutions of lithium and calcium chlorides: formulations for use in air conditioning equipment design. International Journal of Thermal Sciences, 43(4), 367-382.
353	38	0.39737	Custom	Conde, M. R. (2004). Properties of aqueous solutions of lithium and calcium chlorides: formulations for use in air conditioning equipment design. International Journal of Thermal Sciences, 43(4), 367-382.
353	39	0.370051	Custom	Conde, M. R. (2004). Properties of aqueous solutions of lithium and calcium chlorides: formulations for use in air conditioning equipment design. International Journal of Thermal Sciences, 43(4), 367-382.
353	40	0.344233	Custom	Conde, M. R. (2004). Properties of aqueous solutions of lithium and calcium chlorides: formulations for use in air conditioning equipment design. International Journal of Thermal Sciences, 43(4), 367-382.
353	41	0.319932	Custom	Conde, M. R. (2004). Properties of aqueous solutions of lithium and calcium chlorides: formulations for use in air conditioning equipment design. International Journal of Thermal Sciences, 43(4), 367-382.
353	42	0.297138	Custom	Conde, M. R. (2004). Properties of aqueous solutions of lithium and calcium chlorides: formulations for use in air conditioning equipment design. International Journal of Thermal Sciences, 43(4), 367-382.
353	43	0.275823	Custom	Conde, M. R. (2004). Properties of aqueous solutions of lithium and calcium chlorides: formulations for use in air conditioning equipment design. International Journal of Thermal Sciences, 43(4), 367-382.
353	44	0.255945	Custom	Conde, M. R. (2004). Properties of aqueous solutions of lithium and calcium chlorides: formulations for use in air conditioning equipment design. International Journal of Thermal Sciences, 43(4), 367-382.
353	45	0.237449	Custom	Conde, M. R. (2004). Properties of aqueous solutions of lithium and calcium chlorides: formulations for use in air conditioning equipment design. International Journal of Thermal Sciences, 43(4), 367-382.
